src_port,dst_port,protocol,packet_length,packet_count,duration,window_size,ack_count,syn_count,rst_count,psh_count,urg_count,fin_count,flow_rate,bytes_in,bytes_out,attack_type
38035,443,17,1170.7801096319643,4,2.1157042980881586,21420,4,1,0,2,0,0,101.77655302043465,599.7270853950492,747.938487898585,Normal
11117,443,17,824.8840566292318,4,8.426767622420002,40498,2,0,0,4,0,1,34.770293077400595,169.07306390097915,963.759855171256,Normal
9729,80,6,128.34319321421958,4,14.864883494120374,46472,4,3,0,0,0,0,134.17472718585032,333.72906388187494,702.275608069815,Normal
56053,443,6,244.60934492163108,7,5.196109150546597,56805,2,0,0,4,0,0,93.32815840336472,1220.4103443541867,-94.64868082801854,Normal
64063,443,17,549.6852043186183,7,30.81005595428849,29589,2,0,0,0,0,0,93.32375583486579,1612.427943058266,331.9868351677728,Normal
2548,80,6,244.24635677258283,4,0.023421312751622132,10162,3,1,1,1,0,1,46.583299503685524,1682.5695300631558,783.9257218339102,Normal
59077,25,6,580.3648986492042,3,8.87372321459914,41872,3,1,1,4,0,0,122.03358422350902,304.5581197493965,640.2645359404403,Normal
31931,80,17,532.3924115270622,8,20.928541123026516,44993,0,1,0,5,0,0,130.3994810816606,1494.9516851956037,592.3486626483543,Normal
59630,80,17,443.822763898188,2,6.298170765224025,25463,2,0,0,3,0,2,80.06395211073362,1527.973068020011,457.2188558782697,Normal
63789,25,6,487.14251074474925,5,4.846554228450836,17832,3,4,0,2,0,0,101.6295665936271,1127.8965866758654,123.96950656070862,Normal
60744,25,17,477.93713032420646,3,19.118515186985533,29353,3,1,0,2,0,1,133.7703635310889,1015.5914772107509,816.2286780027096,Normal
48351,443,6,550.7505854900164,7,1.7482981648834932,40204,5,2,0,0,0,1,125.88390957371467,1238.1453080504323,614.5054794850398,Normal
27612,25,6,679.0488816024267,2,17.07488656906664,1519,2,1,0,1,0,1,43.22362044088109,1573.6994559282034,249.21208335076858,Normal
59285,80,17,333.97206274816614,7,0.6787864736599039,44576,4,0,1,1,0,1,98.75289707372427,1148.8259654508538,367.5958705313975,Normal
4117,22,6,39.22625677532119,7,7.835814397471963,22075,6,0,0,4,0,1,82.99991762469683,1003.4391292700961,145.72157385777967,Normal
65237,443,6,727.2047485411133,2,0.7520522230669786,30527,9,0,0,0,0,0,80.42128062092827,1629.9080957640635,342.85894444617327,Normal
62705,25,6,287.6624209986096,2,5.057108535355948,43713,4,2,0,3,0,1,101.12980699503814,1289.2502752486869,846.8445791078668,Normal
36222,22,6,541.3205417511588,6,2.8382715753991636,60812,3,2,0,1,0,0,128.50436412996496,773.2738690415052,1304.0765479989636,Normal
61339,443,6,383.4225366543043,2,20.270199251908405,49822,6,1,0,3,0,1,106.3478491114118,370.0631214473814,115.51236543687378,Normal
34321,25,6,351.85594841356044,5,19.26789767756658,60908,1,1,0,1,0,0,111.87410600312228,1560.0686974173768,436.41286842683144,Normal
54532,22,6,392.2684924641558,4,7.3349834542958146,55561,2,2,0,2,0,1,110.39511645192147,1584.5292603596358,470.7306320461137,Normal
19333,25,6,428.3185204020092,3,1.3023387998311675,21189,1,0,0,2,0,0,83.47155656603718,233.23417927348862,640.8778451460807,Normal
7594,443,6,288.9897564063957,2,2.2546305443661034,4982,1,1,0,4,0,0,112.10170070062233,1118.0908209269976,554.6930226167085,Normal
45936,25,6,562.5768934841299,5,10.724923184658566,38385,5,0,0,6,0,0,113.47685304759236,1525.5515908305233,170.29021741594187,Normal
52948,22,6,184.82621864028772,5,0.7601308825538722,40290,3,4,0,1,0,0,50.68777853235827,1547.489767625631,-47.54188351368771,Normal
17197,443,17,706.2857189854119,4,1.0694046139193687,6524,6,1,1,1,0,1,108.43574271908128,1509.857274796848,342.49919569295116,Normal
9660,443,17,506.9727234747696,6,21.55946530154033,29064,3,3,0,5,0,0,116.57469863251444,1281.433206254799,419.70836051868423,Normal
30368,22,6,825.4936160322926,6,11.879175624204636,28994,3,0,0,4,0,0,148.70189686897137,160.12829519202762,191.2000542205306,Normal
38981,80,6,520.7253678743618,4,10.523320404102641,60917,2,0,0,3,0,0,76.90080306824075,1080.571155814128,608.7581337438397,Normal
4398,80,6,277.77047864762966,7,1.653653453224028,26628,4,0,0,3,0,0,102.43830528301083,674.7983958019511,211.33059008175655,Normal
19816,80,17,534.3197194768461,8,2.3383868383943187,32494,4,1,0,2,0,0,121.24267365570029,1068.7052666923846,651.9530510774562,Normal
29961,80,17,505.59309856124315,5,4.5812948245673155,49031,3,1,0,4,0,0,124.53298897600861,352.1129547064734,111.96037497188394,Normal
14852,22,17,335.7013107294865,5,1.2940840602400936,29373,1,2,0,1,0,1,98.12029131392666,1473.064329907501,684.4326766557951,Normal
58046,443,17,382.18037910205226,4,5.381180264409754,24794,4,1,0,1,0,0,64.86874437472437,313.3716169899317,316.866185694827,Normal
11658,22,6,206.5766515429795,6,22.264085163237468,53864,4,0,1,3,0,0,98.79734462030339,960.619731040809,761.8939796696855,Normal
57516,22,6,534.6935545338912,2,12.599203799829265,8300,2,1,0,5,0,1,151.6638581705491,615.4447473963805,474.94895327085567,Normal
40303,25,6,766.988207566289,3,9.545456284794806,26701,2,1,0,1,0,1,77.29614734291619,474.30194892691725,605.2539918859363,Normal
17929,22,6,244.5288463306154,5,21.79703081100552,56695,4,1,0,3,0,0,41.009302318719946,599.8270622885232,744.7910446349762,Normal
24411,80,6,487.84083199094243,8,3.531788500016205,18962,1,2,0,4,0,1,97.42320250846625,1587.151334869956,292.3249805393425,Normal
40237,22,6,380.25176340015435,2,14.312530668276239,11317,1,3,0,2,0,1,66.69329840471201,789.4338625465681,420.4244013390735,Normal
8933,80,17,121.43198347005574,5,8.674619670881443,30262,1,1,0,0,0,1,137.87752310281547,1570.610842015995,729.1723520963405,Normal
22841,443,6,534.632162890713,4,2.49246221980613,19706,4,1,0,5,0,1,144.32590243165785,1391.6110386770795,940.9401327473882,Normal
33397,80,17,26.633000625333977,7,6.596521975537925,49221,1,3,0,1,0,1,105.10895086487183,535.520385153883,267.8772190669573,Normal
9485,25,17,745.8776643157119,4,0.6470195151063192,19193,3,0,0,2,0,0,75.90463147958965,1273.5282192334764,654.177112994104,Normal
23693,80,6,227.73772357221867,5,1.639868637214363,24771,1,2,0,3,0,0,117.0116655216431,902.8392010081045,806.4743759145372,Normal
61956,443,17,623.759309864363,4,7.184704219340354,31163,4,2,0,0,0,1,127.11804523258586,1834.2881103265752,609.2461697815248,Normal
55152,22,17,496.3728830796811,6,14.943779183383716,62258,1,0,0,2,0,0,77.92424652031495,1048.918393284122,756.955361094547,Normal
7995,25,17,347.25124292672973,5,2.036165002675717,33892,6,1,1,0,0,0,130.89882452743484,582.6967664558986,605.0677608159641,Normal
9028,80,6,970.9881833807035,6,12.387119433120626,16811,4,3,0,0,0,0,106.71865834269204,1151.589653880656,619.8972031682312,Normal
30033,443,6,823.5925813313271,7,11.594048640248865,667,4,0,0,2,0,1,145.63948155767355,1199.4175478855118,568.3378260394802,Normal
24976,22,6,674.488695951813,5,6.168498248029955,3171,1,1,0,0,0,0,133.29099525868668,1300.9250419104494,738.4962700194084,Normal
60699,25,6,739.4976649090459,5,2.7693183488830138,60223,3,0,0,1,0,1,84.19733702035029,1310.2895559184306,1088.739041848256,Normal
10301,80,17,533.27935120811,6,0.985584630744615,20412,0,1,1,1,0,0,85.98689779627672,825.0500591415672,285.4870101274504,Normal
63283,80,17,924.7432340450932,4,4.8533873749905965,49580,3,1,0,1,0,0,139.44743360752142,924.0075798619679,589.9934281467089,Normal
30057,80,6,455.63017548596287,4,0.05521011937309772,18221,0,2,0,1,0,0,37.96435820692023,1448.6143098512175,363.0495150292427,Normal
5936,80,6,430.32219246934574,6,5.01826364836475,61547,5,4,0,1,0,0,76.11922429589532,1575.1024615634842,663.6420918036924,Normal
26019,443,6,457.95065886011025,2,4.381504387364304,61862,5,0,0,1,0,1,70.38461418546449,1310.090129695041,746.8915729060149,Normal
29963,22,6,1197.5961276514286,1,8.178998397282466,53982,2,1,0,0,0,1,85.43046471727983,736.3145402637165,171.8770637835358,Normal
19650,25,17,477.6169621835398,7,5.63048013597861,3779,0,2,0,1,0,1,124.32424819479346,1649.7271308150034,540.4600730341213,Normal
27063,25,17,996.1952894848868,2,7.0411736947070205,55882,1,0,1,1,0,0,86.13711944045805,1047.6104223749346,498.98175456228483,Normal
23076,443,17,690.4203275547484,8,1.674073799118866,2864,2,1,0,1,0,1,89.9854153073197,1111.4659319876082,834.6130959561826,Normal
20864,25,6,468.00307546539733,8,5.027545216901968,1819,4,1,0,0,0,0,66.75506406427596,1106.6152574169641,410.9318238914311,Normal
2984,443,17,608.5377008389597,5,14.346370292169555,21390,6,1,0,2,0,1,99.12211558945064,623.47826159292,235.59918015939917,Normal
22850,22,6,1109.310567497037,3,12.826804175451045,53301,5,3,1,0,0,0,105.76848023197124,709.7359990564471,560.4577009243022,Normal
21644,25,17,690.4583311125177,5,5.2347703482533525,9117,0,0,0,3,0,1,135.47361479815913,954.1388987626642,97.83452017706958,Normal
40257,443,17,100.46467472154262,6,6.470978859895242,2880,2,0,0,2,0,0,77.11825664301358,1136.2466138905465,842.0530848552029,Normal
26259,25,17,718.6233847391514,6,6.865597708997226,12749,5,0,0,4,0,1,70.79361400886594,1118.669218267636,242.44093992952145,Normal
6817,25,17,579.2157002244928,6,4.904493137625131,27098,3,1,0,0,0,1,105.80769734102633,2171.460899338614,406.9679523914248,Normal
2340,443,6,616.428804483657,5,0.5377534073609781,20968,2,1,0,4,0,1,96.25072640925202,1094.8089291703347,424.98188652308045,Normal
63285,443,6,427.8736702082599,2,7.253850879884061,63019,2,4,0,2,0,1,118.09562293247029,1746.8807776739982,370.9667372659575,Normal
38006,25,17,542.9137423845037,2,14.703640839597828,49373,2,0,0,2,0,0,146.42710285086778,1326.6030369586567,1021.7606660207415,Normal
57571,22,6,683.5762937029987,3,2.590756504330275,27745,2,3,0,4,0,1,120.30899162018613,788.271812792708,733.3746410600552,Normal
33106,22,6,639.544767615177,5,6.348561371298942,19502,1,2,0,0,0,0,134.204471155638,666.1373749946363,832.5665048985134,Normal
22649,80,17,463.3500070396174,4,1.8122189742519366,1628,3,2,0,0,0,0,89.27663731568718,1303.9080057681283,483.1682997087268,Normal
11709,80,17,403.5132386693041,4,15.73082436156245,4154,5,2,0,6,0,0,51.479111496742966,1723.8991015315678,571.7007267802131,Normal
25556,25,17,737.8772639547927,3,6.556397546358057,18572,0,1,2,3,0,0,86.43729001500759,151.1951290899092,403.82947573631037,Normal
54545,80,17,830.6401398694647,6,13.934082974239088,47492,0,0,0,3,0,0,42.51498461002364,611.7840691782183,757.217850413306,Normal
34491,22,6,875.5857747051418,5,9.009157372144621,14381,1,0,1,3,0,1,83.95853176568065,113.36315698866338,593.8308674352581,Normal
50454,80,6,755.9741816691803,4,2.2384411048972384,47206,2,0,0,3,0,0,33.773088241292015,480.1038565548165,205.2394532487275,Normal
24088,25,6,354.1491061643528,6,4.791488090759574,45558,4,1,0,2,0,0,88.71470191654934,2045.7817547693899,1308.1391503373725,Normal
13091,80,6,203.3248951153821,3,1.3367455389074707,33788,3,0,0,6,0,0,94.56981584021159,1380.115331873678,729.3701403502448,Normal
7057,80,6,409.8171410303074,7,7.781269509509309,19136,2,3,0,3,0,0,108.9955285531224,918.9641067530914,391.5753235119562,Normal
42358,22,17,529.8551933033085,4,13.193801039927687,7501,3,0,0,0,0,0,80.80706417667601,737.794699324417,599.0551979163652,Normal
23766,22,17,406.15291875244134,4,7.312665687059473,55824,3,0,0,1,0,0,107.80841519748658,1897.2891865730278,542.5262922997479,Normal
39425,25,17,565.0604363261297,2,30.2460965743243,16858,3,1,0,2,0,0,102.0803301110875,180.327368507374,555.3771087000797,Normal
19713,80,17,653.177926461318,5,8.744917510906712,17712,5,0,0,2,0,0,110.2176764920149,1203.3749909649391,588.2511601167414,Normal
30339,80,6,959.8934794765877,4,20.99399761780521,63455,1,0,0,0,0,0,141.44362236071458,303.5525145294704,416.8004708210159,Normal
18592,22,17,616.4164562880823,8,4.638035907562944,24136,3,2,0,4,0,0,113.57594309078453,821.0248553311155,869.5368907538718,Normal
17470,443,17,412.89455365388426,3,26.188124511245782,3790,2,2,0,6,0,1,98.63766346203285,193.06107861499004,602.4783018205216,Normal
33852,22,17,635.3577117999338,8,4.987830002340477,48626,5,1,0,2,0,0,116.417943921339,-389.6637266718667,405.3241343400105,Normal
45302,25,6,761.8090801522455,3,1.812199761150679,7593,3,0,0,1,0,0,127.55363331827242,1637.8036719162146,309.77893752620554,Normal
55959,25,6,-23.57945078405737,6,20.442826532666185,44449,0,2,1,2,0,1,142.38502170309675,1550.179631872757,593.9781594878326,Normal
58618,80,6,1031.3290046130874,2,12.853407259893984,52343,4,0,0,3,0,0,128.75429582814263,564.7122275096294,339.7000076474849,Normal
37511,443,17,729.1983058445528,3,4.707541963972017,52268,3,1,0,3,0,0,32.59331998046184,930.2047138703742,678.6973339269922,Normal
34689,443,17,460.4181673094354,7,16.24562067851931,12089,1,0,0,2,0,0,99.80436054311626,1351.3060033827417,136.65079529058175,Normal
51988,25,17,560.8027113638462,5,3.7662521697529927,65063,7,1,1,4,0,1,128.2393174230245,1483.9203102863567,182.69845844916523,Normal
28550,443,17,779.3955804783259,5,5.662435996412856,25856,3,3,0,1,0,0,116.11535282877281,681.2284799543586,582.4566499220045,Normal
16647,22,6,330.9328945571938,7,0.4118750595694294,56060,5,0,0,0,0,2,103.76095947295507,1041.9848550030013,228.09684653800355,Normal
25017,22,6,759.4906784278903,8,26.336215041162344,6253,4,2,1,4,0,1,109.91720177876307,1115.022808540099,525.8436658808247,Normal
30901,443,17,615.4500236823062,6,0.19330504120641034,18031,0,0,0,6,0,1,69.34077668827612,809.3104407901587,575.7469891493181,Normal
54058,443,17,493.0694232042515,5,19.877512246541208,1774,4,0,0,5,0,0,86.45021571521131,1862.0547533375739,254.51195638730002,Normal
7977,443,6,459.2999856946329,2,6.331951821699681,32613,2,2,0,0,0,0,77.60264960379283,380.5381914134325,661.8856303999017,Normal
56887,25,17,314.88100705345096,4,4.195312944675591,19326,2,2,0,2,0,0,61.116500072503165,1083.6163792196576,486.1340731182278,Normal
20544,22,6,746.3399105434014,4,11.00250641618203,46503,2,0,0,2,0,0,83.51379176213395,1406.4248161643825,1012.8430728162434,Normal
53285,22,17,755.5710149268701,4,2.1867755856222413,58704,8,0,0,2,0,0,89.00478938895844,1133.287945871263,724.1496154162988,Normal
64933,25,6,229.15512497599485,4,18.65110153248133,55038,2,0,0,4,0,0,106.61624281041601,631.0804479633025,287.6455082380023,Normal
4992,22,6,504.0489131850491,3,2.7200120069694393,11450,1,2,0,3,0,0,72.70949749054499,1603.0635382452285,704.0712049150757,Normal
51823,22,6,1128.9724542482263,4,8.01088717336469,31539,5,1,1,3,0,0,106.64474869835183,431.85357576308263,667.106700277061,Normal
60921,80,6,702.1720267717712,2,17.536464518784253,5429,1,1,0,1,0,0,103.41608200929052,463.1380698651716,651.7948193631005,Normal
2075,443,17,284.354347973549,2,12.589570184243081,36456,3,0,0,1,1,2,128.6590167471326,778.9670912695325,401.7698405933366,Normal
62830,25,17,231.57736882963542,8,23.47161783758407,42500,3,1,0,3,0,0,108.95175539698914,1879.1232447226496,400.4303418454448,Normal
21378,443,6,825.1092651764031,4,3.5659218990154598,54707,4,0,0,0,0,0,92.23436798890505,1058.2092201868315,787.6922432749698,Normal
58559,22,17,88.34881632555619,3,8.600459963188795,33590,1,1,0,4,0,1,71.19861114161608,221.5274733954417,608.8568820754595,Normal
42715,443,17,23.60126518338791,1,11.776920419577039,55222,3,3,0,1,0,0,74.18844967661494,1168.7878125996424,437.5780497015758,Normal
54767,443,6,396.5033322472963,7,27.143111047419588,57648,4,2,1,1,0,1,116.55222399732762,1552.3164070578332,856.5256364448944,Normal
19347,25,6,808.7229606287099,4,4.383463445134082,44684,3,0,0,0,0,0,89.91235783956785,1074.7233668727858,123.56960878630576,Normal
6337,22,6,515.6465059875103,11,5.594171394027411,23611,3,1,0,3,0,0,52.70944873301693,950.2933023805382,563.9659809116358,Normal
7543,22,6,897.9541910819031,8,9.251518925039456,25686,3,0,0,4,0,0,79.23543363769329,1358.9020650785849,733.9494962504377,Normal
29165,443,17,780.4690243626403,2,18.014898907711345,21676,2,0,0,2,0,2,149.66221339264885,670.0162573240649,779.5544443863729,Normal
42222,25,17,68.8124663180991,7,0.5189674360981235,18955,2,0,0,0,0,0,144.84814682359706,1096.5941352756581,382.9966153281887,Normal
16996,443,6,685.4040375517241,3,5.018201538710777,12717,2,0,1,2,0,0,76.74897431728829,1184.6481527338944,821.9367868815111,Normal
35602,22,17,646.4487399264584,5,2.751365446183705,23278,3,0,0,1,0,1,65.86578521039095,1149.899175379407,-243.98722576672503,Normal
5699,22,17,666.9372674606734,7,8.306448666735943,17039,1,1,0,0,0,0,133.46299892143404,923.6445012624945,86.36766150365315,Normal
62410,25,17,268.20700653086794,4,38.704759186803564,46762,2,3,0,1,0,0,79.69014584624406,941.5365104569335,615.6903791199197,Normal
34807,80,17,584.6402620573443,4,26.430991847557532,6055,1,3,0,4,0,1,70.36379977297753,1391.000984570624,-27.331095398270918,Normal
31588,443,17,672.8658012256315,4,11.967747244569955,46947,5,1,1,0,0,0,92.81477893705166,1347.810542780338,586.2278248319612,Normal
57942,443,6,287.1492922419868,4,5.142100392583,50279,3,0,0,1,0,3,88.65976302945349,796.807416391429,817.900066525439,Normal
35777,80,6,156.43950821654852,2,1.946738745078903,4590,2,0,0,2,0,0,82.1468968405683,1162.9521822708211,782.6414077401384,Normal
55407,22,6,277.26654839553805,9,3.348315232754807,43571,3,1,0,1,0,1,109.79872652695403,1011.7236211210425,624.9655128375521,Normal
56758,443,6,794.592599888962,3,3.6783831643820264,25001,3,1,1,4,0,3,114.25503239486144,1073.1820246791272,601.5482181769273,Normal
39391,80,6,-65.59998329554605,5,0.6404452437809837,47058,1,0,0,0,0,2,64.64678959419862,1798.8323850954084,891.2680429674454,Normal
42227,443,17,-70.37101153852473,3,3.044493069821947,22511,3,1,0,1,0,0,64.19373176694907,1132.837903683694,774.9084834098514,Normal
29436,25,6,581.7640514101529,5,20.397427343524743,44574,1,3,0,4,0,0,44.206613410872755,1310.503455493359,303.7362305622436,Normal
10951,25,17,-126.0431879431427,3,15.414301483143824,50525,0,1,0,1,0,1,70.5327976233044,1091.4020182626737,361.0707496979453,Normal
60074,443,17,605.2480543290852,4,7.0026642537575885,39383,7,1,0,1,0,0,106.79377093340341,1096.1831422013747,918.6884935791605,Normal
51529,22,6,878.8153424043729,1,13.559340866295088,25116,1,1,0,2,0,0,56.718198358802624,1088.7798809692442,323.9531272024393,Normal
39244,22,17,346.2213131329538,7,8.896843768961292,39111,1,0,0,0,0,0,76.05428126736209,1187.4100685270992,545.5413150921468,Normal
39441,443,6,444.78967723979224,2,4.021902101912243,47263,2,0,0,0,0,0,84.95903741548143,555.0465396416373,802.3794672353824,Normal
20061,80,6,189.07673811164142,5,10.425853468136125,22162,4,1,1,3,0,2,115.22023065678624,1105.7754770852353,418.24212544558605,Normal
14945,22,6,1015.9299349571955,6,13.099759460928695,51925,5,1,0,2,0,0,86.44093031156532,308.76974516840494,598.7067824228315,Normal
33650,22,17,465.0272657923822,4,2.178520838610315,29479,2,0,0,2,0,0,49.905995407109586,1532.8920356462856,279.499217334126,Normal
23468,22,17,340.08010225042875,3,2.9251073953603917,51712,1,3,0,4,0,0,103.38844097326101,606.527678302146,239.0438574337984,Normal
17276,80,17,335.65890705290485,6,4.4687398162566785,50142,0,2,1,2,0,1,104.2824500813487,525.6300349301582,769.8261341371289,Normal
30727,22,17,411.78113277742284,1,23.353523986325257,24361,5,0,0,2,0,0,95.2199372591259,1378.7421469787196,700.0672116375885,Normal
23640,22,17,409.18842607177487,6,2.3140384406662973,15699,3,0,0,5,0,0,95.36383017310392,769.5708031395951,465.2623425588375,Normal
58478,443,17,419.97086970787336,8,0.5527205354358947,64685,2,0,0,1,0,0,175.11388681806324,1639.9605003294334,710.5084756708799,Normal
47431,22,17,754.524774261751,7,19.638267934094785,64000,3,2,0,3,0,1,78.87024429374407,1266.202075255405,751.9557867061445,Normal
12540,80,6,401.25411672146794,4,4.304692142367838,37937,2,1,0,1,0,0,76.26555668349096,992.8100696213589,568.6982906050346,Normal
63723,443,6,417.35755367140183,2,5.376168918159124,18957,2,2,0,2,0,0,89.0470533177801,176.45113272022957,438.9110535753946,Normal
38017,25,6,824.2459519718894,3,4.722701358655466,28324,2,0,1,1,0,0,123.88278117995706,1188.699413184768,555.023310327506,Normal
40032,80,17,239.3962483891322,5,1.1432161048466243,5409,1,0,0,2,0,0,76.17349004156699,1166.007532525914,506.2965813289694,Normal
7415,443,17,76.92865825831831,9,0.18444121601022162,27667,1,0,0,1,0,0,114.43159873376447,686.5885397850452,85.89395575469513,Normal
23837,80,17,579.5656072972511,9,3.94943878222548,26593,4,1,0,2,0,3,150.7480649613224,939.8603745866797,566.2958983869888,Normal
20806,25,6,425.3235249308276,7,1.2581542265761982,36409,1,1,0,3,0,0,147.3982032383034,819.2516801888578,580.9394566606679,Normal
46678,443,6,-85.33704751287303,13,17.41866758685347,58525,2,0,0,2,0,0,28.66373395669393,774.4566188594661,648.6138868144351,Normal
4589,22,17,-76.31656630521479,4,8.575169106138853,7370,1,0,0,0,0,0,84.43958253592845,1020.392967433956,456.8039478865863,Normal
10557,25,6,312.59145195104225,6,20.92436224160855,14377,3,1,1,2,0,0,90.54709800903672,1404.8776585627102,298.8274640370041,Normal
15283,443,6,231.9579570656677,6,3.742453808011772,58498,6,2,0,2,0,0,126.36647002226935,442.64105174519307,636.9037939389917,Normal
45288,443,6,570.7882025958065,2,1.1218998961700284,579,6,0,0,0,0,0,72.34151418804818,1409.3733454264614,208.00885715495974,Normal
16637,25,17,678.5177499488505,9,1.1446294465815705,21171,5,1,0,2,0,1,113.01969475020113,426.22248175989967,645.2615827795014,Normal
65040,443,6,686.383526431773,6,0.972984469894673,50209,1,0,0,3,0,1,115.06057812990595,1206.1025016643734,561.043813425687,Normal
22608,443,17,371.8953856342505,2,5.240621893658144,16633,2,1,0,2,0,0,69.7474020720643,1306.003320379783,462.1627744363527,Normal
31959,22,6,770.2789261799749,5,9.768882162401615,48933,1,2,0,2,0,1,71.42694307628798,1035.586996570557,152.17585821279062,Normal
41139,443,17,505.2120963253867,7,1.0598596908354154,51940,0,1,0,1,0,0,111.34212388004208,1135.3172867515973,428.3843867940947,Normal
50314,443,17,693.0037488983221,5,3.0816854383172365,22735,2,2,0,1,0,0,182.4593480345166,542.4843316296923,520.863933122367,Normal
28618,25,17,801.5747272412615,2,19.03486202359584,14027,3,3,0,1,0,1,103.08863250966735,555.8879688721194,364.55812827552563,Normal
52052,443,6,682.2285971803434,8,42.547710553552264,5223,1,0,0,2,0,1,70.35509956988773,931.9338847334194,553.4161696259221,Normal
1901,443,6,351.2593055274779,4,9.874320670664163,20068,4,1,0,5,0,1,13.245022031493804,1610.7674338007373,312.9928998794479,Normal
9987,80,6,414.51662562836236,4,10.898787531331251,57616,1,2,0,3,0,0,83.73074991623145,1572.026962037724,837.6044600162961,Normal
42974,22,6,301.25949509083574,8,6.452404658868787,1218,3,0,0,2,0,0,132.66089675853087,70.6815309444878,540.7542183602719,Normal
